"","player_name","position","date_of_birth","age","nationality","club_name","league_name","season","year","first_name","second_name","goals_scored","assists","total_points","minutes.played","goals_conceded","creativity","influence","threat","bonus","bps","ict_index","clean_sheets","red_cards","yellow_cards","selected_by_percent","now_cost","position_index","fpl_to_min"
"11","Emerson Palmieri dos Santos","Left-Back","1994-08-03T00:00:00Z",22,"Italy","Chelsea FC","Premier League","2017/2018",2017,"Emerson","Palmieri dos Santos",0,1,14,278,4,28.7,61.8,48,0,68,13.8,1,0,0,0.1,52,"2",5.03597122302158
"12","César Azpilicueta","Right-Back","1989-08-28T00:00:00Z",27,"Spain","Chelsea FC","Premier League","2017/2018",2017,"César","Azpilicueta",2,6,175,3330,38,535.7,967.4,168,25,913,167.5,15,0,1,21,69,"2",5.25525525525526
"13","Davide Zappacosta","Right-Back","1992-06-11T00:00:00Z",25,"Italy","Chelsea FC","Premier League","2017/2018",2017,"Davide","Zappacosta",1,1,58,1087,15,245.3,255.2,329,1,226,82.6,5,0,0,0.2,59,"2",5.33578656853726
"14","Dujon Sterling","Right-Back","1999-10-24T00:00:00Z",17,"England","Chelsea FC","Premier League","2017/2018",2017,"Dujon","Sterling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"2",NA
"15","Tiemoué Bakayoko","Defensive Midfield","1994-08-17T00:00:00Z",22,"France","Chelsea FC","Premier League","2017/2018",2017,"Tiemoué","Bakayoko",2,2,77,2121,24,279.5,415.4,434,5,346,113.2,11,1,3,1.2,49,"3",3.63036303630363
"16","N'Golo Kanté","Central Midfield","1991-03-29T00:00:00Z",26,"France","Chelsea FC","Premier League","2017/2018",2017,"N'Golo","Kanté",1,2,101,2994,32,638.2,676,199,9,655,151.7,16,0,3,11.7,49,"3",3.37341349365397
"17","Cesc Fàbregas","Central Midfield","1987-05-04T00:00:00Z",30,"Spain","Chelsea FC","Premier League","2017/2018",2017,"Cesc","Fàbregas",2,4,89,2300,26,1349.3,713.8,485,7,539,254.9,11,1,4,3.1,68,"3",3.8695652173913
"18","Ross Barkley","Central Midfield","1993-12-05T00:00:00Z",23,"England","Chelsea FC","Premier League","2017/2018",2017,"Ross","Barkley",0,0,3,129,4,34.7,21,45,0,11,10.1,0,0,0,0.2,73,"3",2.32558139534884
"19","Ruben Loftus-Cheek","Central Midfield","1996-01-23T00:00:00Z",21,"England","Chelsea FC","Premier League","2017/2018",2017,"Ruben","Loftus-Cheek",2,5,77,1871,30,377,379.2,487,2,337,124.5,6,0,1,3.5,44,"3",4.11544628540887
"20","Kyle Scott","Central Midfield","1997-12-12T00:00:00Z",19,"United States","Chelsea FC","Premier League","2017/2018",2017,"Kyle","Scott",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,"3",NA
"21","Robert Kenedy Nunes do Nascimento","Left Midfield","1996-02-08T00:00:00Z",21,"Brazil","Chelsea FC","Premier League","2017/2018",2017,"Robert Kenedy","Nunes do Nascimento",2,2,51,1023,9,224.1,236.4,253,5,171,71.4,6,0,1,2,48,"3",4.98533724340176
"22","Eden Hazard","Left Winger","1991-01-07T00:00:00Z",26,"Belgium","Chelsea FC","Premier League","2017/2018",2017,"Eden","Hazard",12,6,173,2417,27,1127.3,928,1115,24,699,317.3,12,0,2,6.4,105,"4",7.15763342987174
"23","Jeremie Boga","Left Winger","1997-01-03T00:00:00Z",20,"Cote d'Ivoire","Chelsea FC","Premier League","2017/2018",2017,"Jeremie","Boga",0,0,1,17,0,1,0,0,0,1,0,0,0,0,0,60,"4",5.88235294117647
"24","Callum Hudson-Odoi","Left Winger","2000-11-07T00:00:00Z",16,"England","Chelsea FC","Premier League","2017/2018",2017,"Callum","Hudson-Odoi",0,0,2,27,1,1.7,8.8,27,0,11,3.8,0,0,0,0,45,"4",7.40740740740741
"25","Willian Borges Da Silva","Right Winger","1988-08-09T00:00:00Z",28,"Brazil","Chelsea FC","Premier League","2017/2018",2017,"Willian","Borges Da Silva",6,8,130,1874,19,891.5,640,715,13,522,224.5,9,0,1,12.6,70,"4",6.93703308431163
"26","Pedro Rodríguez Ledesma","Right Winger","1987-07-28T00:00:00Z",29,"Spain","Chelsea FC","Premier League","2017/2018",2017,"Pedro","Rodríguez Ledesma",4,2,81,1511,14,410,338.4,498,2,272,124.6,8,0,1,1,77,"4",5.36068828590338
"27","Victor Moses","Right Winger","1990-12-12T00:00:00Z",26,"Nigeria","Chelsea FC","Premier League","2017/2018",2017,"Victor","Moses",3,6,131,2109,20,358.1,417,482,9,486,125.9,11,0,3,2.9,65,"4",6.21147463252726
"28","Álvaro Morata","Centre-Forward","1992-10-23T00:00:00Z",24,"Spain","Chelsea FC","Premier League","2017/2018",2017,"Álvaro","Morata",11,6,122,2055,19,478.9,620.6,1192,13,356,228.8,11,0,7,7.6,104,"5",5.9367396593674
"29","Michy Batshuayi","Centre-Forward","1993-10-02T00:00:00Z",23,"Belgium","Chelsea FC","Premier League","2017/2018",2017,"Michy","Batshuayi",2,1,25,351,7,39,99.4,123,3,77,25.7,1,0,0,0.5,81,"5",7.12250712250712
"30","Olivier Giroud","Centre-Forward","1986-09-30T00:00:00Z",30,"France","Chelsea FC","Premier League","2017/2018",2017,"Olivier","Giroud",7,1,77,981,11,311.1,307,673,10,273,129,5,0,0,3.7,84,"5",7.84913353720693
"31","Tammy Abraham","Centre-Forward","1997-10-02T00:00:00Z",19,"England","Chelsea FC","Premier League","2017/2018",2017,"Tammy","Abraham",5,3,86,1715,31,182.6,269.2,693,11,238,114.2,4,0,0,3.4,54,"5",5.01457725947522
"32","Sergio Romero","Goalkeeper","1987-02-22T00:00:00Z",30,"Argentina","Manchester United","Premier League","2017/2018",2017,"Sergio","Romero",0,0,7,90,0,0,26.4,0,0,26,2.6,1,0,0,0.7,47,"1",7.77777777777778
"33","Eric Bailly","Centre-Back","1994-04-12T00:00:00Z",23,"Cote d'Ivoire","Manchester United","Premier League","2017/2018",2017,"Eric","Bailly",1,0,55,1000,6,28.4,222,79,3,248,33,7,0,2,5.7,60,"2",5.5
"34","Victor Lindelöf","Centre-Back","1994-07-17T00:00:00Z",22,"Sweden","Manchester United","Premier League","2017/2018",2017,"Victor","Lindelöf",0,0,47,1284,14,37.7,272.8,8,1,297,32,5,0,1,1.3,49,"2",3.66043613707165
"35","Daley Blind","Centre-Back","1990-03-09T00:00:00Z",27,"Netherlands","Manchester United","Premier League","2017/2018",2017,"Daley","Blind",0,0,28,360,0,93,65.8,15,1,119,17.3,4,0,0,0.9,51,"2",7.77777777777778
"36","Marcos Rojo","Centre-Back","1990-03-20T00:00:00Z",27,"Argentina","Manchester United","Premier League","2017/2018",2017,"Marcos","Rojo",0,0,23,639,8,26,151.4,47,4,126,22.5,3,0,6,0.1,54,"2",3.59937402190923
"37","Chris Smalling","Centre-Back","1989-11-22T00:00:00Z",27,"England","Manchester United","Premier League","2017/2018",2017,"Chris","Smalling",4,0,123,2535,24,35.3,743.8,230,9,590,101.2,11,0,4,11.5,57,"2",4.85207100591716
"38","Phil Jones","Centre-Back","1992-02-21T00:00:00Z",25,"England","Manchester United","Premier League","2017/2018",2017,"Phil","Jones",0,0,116,1973,11,36.6,486.4,12,19,554,53.6,15,0,2,5.2,55,"2",5.87937151545869
"39","Axel Tuanzebe","Centre-Back","1997-11-14T00:00:00Z",19,"England","Manchester United","Premier League","2017/2018",2017,"Axel","Tuanzebe",0,0,1,1,0,0,0,0,0,3,0,0,0,0,1.1,39,"2",100
"40","Luke Shaw","Left-Back","1995-07-12T00:00:00Z",21,"England","Manchester United","Premier League","2017/2018",2017,"Luke","Shaw",0,0,48,787,2,127,142.6,144,4,216,41.5,7,0,2,0.5,48,"2",6.09911054637865
"41","Ashley Young","Left-Back","1985-07-09T00:00:00Z",31,"England","Manchester United","Premier League","2017/2018",2017,"Ashley","Young",2,6,98,2444,26,502.3,601.2,213,11,479,131.6,9,0,7,2.4,48,"2",4.00981996726678
"42","Matteo Darmian","Right-Back","1989-12-02T00:00:00Z",27,"Italy","Manchester United","Premier League","2017/2018",2017,"Matteo","Darmian",0,0,27,443,3,25.3,95,6,3,119,12.6,3,0,0,0.2,49,"2",6.09480812641084
"43","Antonio Valencia","Right-Back","1985-08-04T00:00:00Z",31,"Ecuador","Manchester United","Premier League","2017/2018",2017,"Antonio","Valencia",3,1,146,2741,22,438.5,559.2,259,13,660,125.5,16,0,7,11.7,69,"2",5.32652316672747
"44","Timothy Fosu-Mensah","Right-Back","1998-01-02T00:00:00Z",19,"Netherlands","Manchester United","Premier League","2017/2018",2017,"Timothy","Fosu-Mensah",0,0,39,1592,29,103.7,326.6,43,3,279,47.4,2,0,2,1,44,"2",2.44974874371859
"45","Nemanja Matic","Defensive Midfield","1988-08-01T00:00:00Z",28,"Serbia","Manchester United","Premier League","2017/2018",2017,"Nemanja","Matic",1,1,91,3117,26,427.9,681.4,168,3,576,127.9,16,0,6,9.1,47,"3",2.91947385306384
"46","Michael Carrick","Defensive Midfield","1981-07-28T00:00:00Z",35,"England","Manchester United","Premier League","2017/2018",2017,"Michael","Carrick",0,0,4,108,0,13.7,23.2,41,0,19,7.8,1,0,0,1,42,"3",3.7037037037037
"47","Paul Pogba","Central Midfield","1993-03-15T00:00:00Z",24,"France","Manchester United","Premier League","2017/2018",2017,"Paul","Pogba",6,13,138,2145,20,663.5,710.8,780,15,528,215.6,11,1,5,14.7,79,"3",6.43356643356643
"48","Ander Herrera","Central Midfield","1989-08-14T00:00:00Z",27,"Spain","Manchester United","Premier League","2017/2018",2017,"Ander","Herrera",0,2,44,1257,14,229.4,294.4,101,0,229,62.7,5,0,5,1.3,50,"3",3.50039777247414
"49","Marouane Fellaini","Central Midfield","1987-11-22T00:00:00Z",29,"Belgium","Manchester United","Premier League","2017/2018",2017,"Marouane","Fellaini",4,0,47,611,1,88.2,246,264,3,171,59.8,4,0,1,0.6,47,"3",7.69230769230769
"50","Scott McTominay","Central Midfield","1996-12-08T00:00:00Z",20,"Scotland","Manchester United","Premier League","2017/2018",2017,"Scott","McTominay",0,0,21,629,3,53.6,78.2,11,0,96,14.2,4,0,2,0.8,42,"3",3.33863275039746
"51","Henrikh Mkhitaryan","Attacking Midfield","1989-01-21T00:00:00Z",28,"Armenia","Manchester United","Premier League","2017/2018",2017,"Henrikh","Mkhitaryan",3,9,107,1712,17,727.8,506.8,400,9,411,163.8,12,0,2,7.5,77,"3",6.25
"52","Juan Mata","Attacking Midfield","1988-04-28T00:00:00Z",29,"Spain","Manchester United","Premier League","2017/2018",2017,"Juan","Mata",3,5,100,1919,10,849.9,422.8,453,6,418,172.1,15,0,1,2,68,"3",5.21104742053153
"53","Alexis Sánchez","Left Winger","1988-12-19T00:00:00Z",28,"Chile","Manchester United","Premier League","2017/2018",2017,"Alexis","Sánchez",9,10,152,2546,32,1155.2,823.2,1281,13,515,326.1,11,0,5,3,114,"4",5.97014925373134
"54","Anthony Martial","Left Winger","1995-12-05T00:00:00Z",21,"France","Manchester United","Premier League","2017/2018",2017,"Anthony","Martial",9,6,125,1572,13,509.3,535.4,748,7,403,179.5,9,0,1,2.6,78,"4",7.95165394402036
"55","Jesse Lingard","Right Winger","1992-12-15T00:00:00Z",24,"England","Manchester United","Premier League","2017/2018",2017,"Jesse","Lingard",8,6,128,1807,18,519.1,526.6,711,10,450,175.3,9,0,2,10.3,60,"4",7.08356391809629
"56","Romelu Lukaku","Centre-Forward","1993-05-13T00:00:00Z",24,"Belgium","Manchester United","Premier League","2017/2018",2017,"Romelu","Lukaku",16,7,162,2866,26,572.4,831,1334,18,593,273.2,14,0,4,21.9,115,"5",5.65247732030705
"57","Marcus Rashford","Centre-Forward","1997-10-31T00:00:00Z",19,"England","Manchester United","Premier League","2017/2018",2017,"Marcus","Rashford",7,5,104,1799,16,412.1,470.8,838,11,387,171.7,10,0,3,7.6,73,"5",5.78098943857699
"58","Wayne Rooney","Centre-Forward","1985-10-24T00:00:00Z",31,"England","Manchester United","Premier League","2017/2018",2017,"Wayne","Rooney",10,3,113,2265,33,573.7,585,467,20,480,162.4,7,0,5,9.3,71,"5",4.98896247240618
"59","Zlatan Ibrahimovic","Centre-Forward","1981-10-03T00:00:00Z",35,"Sweden","Manchester United","Premier League","2017/2018",2017,"Zlatan","Ibrahimovic",0,0,5,102,2,43.5,14.8,68,0,18,12.6,0,0,0,0.2,95,"5",4.90196078431373
"60","David Ospina","Goalkeeper","1988-08-31T00:00:00Z",28,"Colombia","Arsenal FC","Premier League","2017/2018",2017,"David","Ospina",0,0,19,380,3,0,75.8,0,1,86,7.7,2,0,0,0.2,48,"1",5
"61","Petr Cech","Goalkeeper","1982-05-20T00:00:00Z",35,"Czech Republic","Arsenal FC","Premier League","2017/2018",2017,"Petr","Cech",0,0,124,3039,48,0,722.4,0,7,627,71.9,11,0,1,4.5,53,"1",4.08028956893715
"62","Matt Macey","Goalkeeper","1994-09-09T00:00:00Z",22,"England","Arsenal FC","Premier League","2017/2018",2017,"Matt","Macey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"1",NA
"63","Shkodran Mustafi","Centre-Back","1992-04-17T00:00:00Z",25,"Germany","Arsenal FC","Premier League","2017/2018",2017,"Shkodran","Mustafi",3,1,109,2272,30,129.9,836.6,202,13,610,117,10,0,6,4.2,54,"2",4.79753521126761
"64","Laurent Koscielny","Centre-Back","1985-09-10T00:00:00Z",31,"France","Arsenal FC","Premier League","2017/2018",2017,"Laurent","Koscielny",2,0,100,2225,32,123.8,692,137,16,556,95.5,9,0,4,1.5,60,"2",4.49438202247191
"65","Calum Chambers","Centre-Back","1995-01-20T00:00:00Z",22,"England","Arsenal FC","Premier League","2017/2018",2017,"Calum","Chambers",0,0,23,864,14,40,227.8,134,0,171,40.2,2,0,1,0.4,47,"2",2.66203703703704
"66","Rob Holding","Centre-Back","1995-09-20T00:00:00Z",21,"England","Arsenal FC","Premier League","2017/2018",2017,"Rob","Holding",0,1,27,819,17,39.3,212.2,24,1,196,27.5,3,0,3,0.7,44,"2",3.2967032967033
"67","Per Mertesacker","Centre-Back","1984-09-29T00:00:00Z",32,"Germany","Arsenal FC","Premier League","2017/2018",2017,"Per","Mertesacker",1,0,16,364,7,3,119.6,38,2,81,16.1,0,0,0,0.5,47,"2",4.3956043956044
"68","Konstantinos Mavropanos","Centre-Back","1997-12-11T00:00:00Z",19,"Greece","Arsenal FC","Premier League","2017/2018",2017,"Konstantinos","Mavropanos",0,0,4,194,5,1.3,52.2,2,0,41,5.5,1,1,0,0,42,"2",2.06185567010309
"69","Sead Kolasinac","Left-Back","1993-06-20T00:00:00Z",24,"Bosnia-Herzegovina","Arsenal FC","Premier League","2017/2018",2017,"Sead","Kolasinac",2,4,108,2146,30,334.9,443.2,404,6,510,118.3,10,0,3,6.1,58,"2",5.03261882572227
"70","Nacho Monreal","Left-Back","1986-02-26T00:00:00Z",31,"Spain","Arsenal FC","Premier League","2017/2018",2017,"Nacho","Monreal",5,2,130,2241,29,238.7,693.6,305,15,604,124,10,0,3,8,57,"2",5.80098170459616
"71","Héctor Bellerín","Right-Back","1995-03-19T00:00:00Z",22,"Spain","Arsenal FC","Premier League","2017/2018",2017,"Héctor","Bellerín",2,4,132,3050,44,561,554,484,11,656,160.1,12,0,5,10.3,59,"2",4.32786885245902
"72","Carl Jenkinson","Right-Back","1992-02-08T00:00:00Z",25,"England","Arsenal FC","Premier League","2017/2018",2017,"Carl","Jenkinson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,45,"2",NA
"73","Mathieu Debuchy","Right-Back","1985-07-28T00:00:00Z",31,"France","Arsenal FC","Premier League","2017/2018",2017,"Mathieu","Debuchy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"2",NA
"74","Jordi Osei-Tutu","Right-Back","1998-10-02T00:00:00Z",18,"England","Arsenal FC","Premier League","2017/2018",2017,"Jordi","Osei-Tutu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"2",NA
"75","Granit Xhaka","Defensive Midfield","1992-09-27T00:00:00Z",24,"Switzerland","Arsenal FC","Premier League","2017/2018",2017,"Granit","Xhaka",1,8,109,3259,50,822.8,753.4,378,3,593,195.3,12,0,10,7,51,"3",3.34458422829089
"76","Francis Coquelin","Defensive Midfield","1991-05-13T00:00:00Z",26,"France","Arsenal FC","Premier League","2017/2018",2017,"Francis","Coquelin",0,0,7,164,6,16.9,22.2,8,0,35,4.8,0,0,0,0.5,43,"3",4.26829268292683
"77","Mohamed Elneny","Defensive Midfield","1992-07-11T00:00:00Z",24,"Egypt","Arsenal FC","Premier League","2017/2018",2017,"Mohamed","Elneny",0,1,22,865,12,194.4,138.2,92,0,156,42.5,3,1,3,3,42,"3",2.54335260115607
"78","Aaron Ramsey","Central Midfield","1990-12-26T00:00:00Z",26,"Wales","Arsenal FC","Premier League","2017/2018",2017,"Aaron","Ramsey",7,10,130,1844,25,478.3,631.2,734,12,503,184.2,9,0,0,4.5,68,"3",7.04989154013015
"79","Alex Oxlade-Chamberlain","Central Midfield","1993-08-15T00:00:00Z",23,"England","Arsenal FC","Premier League","2017/2018",2017,"Alex","Oxlade-Chamberlain",3,7,94,1718,28,625.1,548,494,5,423,166.5,5,0,3,2.2,55,"3",5.47147846332945
"80","Jack Wilshere","Central Midfield","1992-01-01T00:00:00Z",25,"England","Arsenal FC","Premier League","2017/2018",2017,"Jack","Wilshere",1,3,46,1185,16,281.8,258.4,169,2,236,71,4,0,6,0.7,50,"3",3.88185654008439
"81","Ainsley Maitland-Niles","Right Midfield","1997-08-29T00:00:00Z",19,"England","Arsenal FC","Premier League","2017/2018",2017,"Ainsley","Maitland-Niles",0,0,25,908,16,141.3,168.4,67,0,160,37.8,3,0,1,0.1,45,"3",2.75330396475771
"82","Mesut Özil","Attacking Midfield","1988-10-15T00:00:00Z",28,"Germany","Arsenal FC","Premier League","2017/2018",2017,"Mesut","Özil",4,9,112,2161,36,1287.5,640.6,555,11,506,248.6,8,0,4,2.1,93,"3",5.18278574733919
"83","Henrikh Mkhitaryan","Attacking Midfield","1989-01-21T00:00:00Z",28,"Armenia","Arsenal FC","Premier League","2017/2018",2017,"Henrikh","Mkhitaryan",3,9,107,1712,17,727.8,506.8,400,9,411,163.8,12,0,2,7.5,77,"3",6.25
"84","Alexis Sánchez","Left Winger","1988-12-19T00:00:00Z",28,"Chile","Arsenal FC","Premier League","2017/2018",2017,"Alexis","Sánchez",9,10,152,2546,32,1155.2,823.2,1281,13,515,326.1,11,0,5,3,114,"4",5.97014925373134
"85","Alex Iwobi","Left Winger","1996-05-03T00:00:00Z",21,"Nigeria","Arsenal FC","Premier League","2017/2018",2017,"Alex","Iwobi",3,5,89,1827,26,592.9,430,635,2,426,165.6,9,0,1,1,51,"4",4.87137383689108
"86","Theo Walcott","Right Winger","1989-03-16T00:00:00Z",28,"England","Arsenal FC","Premier League","2017/2018",2017,"Theo","Walcott",3,3,62,1214,17,234.9,316.6,406,3,226,95.9,4,0,2,2.1,66,"4",5.10708401976936
"87","Reiss Nelson","Right Winger","1999-12-10T00:00:00Z",17,"England","Arsenal FC","Premier League","2017/2018",2017,"Reiss","Nelson",0,0,5,144,3,29.7,12,11,0,23,5.3,0,0,0,0,47,"4",3.47222222222222
"88","Pierre-Emerick Aubameyang","Centre-Forward","1989-06-18T00:00:00Z",28,"Gabon","Arsenal FC","Premier League","2017/2018",2017,"Pierre-Emerick","Aubameyang",10,4,87,1056,15,207.1,484,580,12,354,127.1,4,0,0,14,108,"5",8.23863636363636
"89","Alexandre Lacazette","Centre-Forward","1991-05-28T00:00:00Z",26,"France","Arsenal FC","Premier League","2017/2018",2017,"Alexandre","Lacazette",14,5,138,2197,28,566,725.6,1291,11,543,258,10,0,1,7.6,103,"5",6.28129267182522
"90","Olivier Giroud","Centre-Forward","1986-09-30T00:00:00Z",30,"France","Arsenal FC","Premier League","2017/2018",2017,"Olivier","Giroud",7,1,77,981,11,311.1,307,673,10,273,129,5,0,0,3.7,84,"5",7.84913353720693
"91","Danny Welbeck","Centre-Forward","1990-11-26T00:00:00Z",26,"England","Arsenal FC","Premier League","2017/2018",2017,"Danny","Welbeck",5,2,70,1178,21,212.8,309.8,435,6,249,96,4,0,1,1.2,73,"5",5.94227504244482
"92","Ederson Santana de Moraes","Goalkeeper","1993-08-17T00:00:00Z",23,"Brazil","Manchester City","Premier League","2017/2018",2017,"Ederson","Santana de Moraes",0,0,158,3195,26,10,546.2,0,10,666,55.6,16,0,1,9,57,"1",4.9452269170579
"93","Joe Hart","Goalkeeper","1987-04-19T00:00:00Z",30,"England","Manchester City","Premier League","2017/2018",2017,"Joe","Hart",0,1,59,1710,39,20,382.8,0,3,341,40.2,4,0,0,5.7,42,"1",3.45029239766082
"94","Claudio Bravo","Goalkeeper","1983-04-13T00:00:00Z",34,"Chile","Manchester City","Premier League","2017/2018",2017,"Claudio","Bravo",0,0,10,224,1,0,45.2,0,1,42,4.5,1,0,0,0.5,45,"1",4.46428571428571
"95","John Stones","Centre-Back","1994-05-28T00:00:00Z",23,"England","Manchester City","Premier League","2017/2018",2017,"John","Stones",0,0,70,1301,11,26.3,283.4,120,5,334,43.2,9,0,0,3.1,53,"2",5.380476556495
"96","Nicolás Otamendi","Centre-Back","1988-02-12T00:00:00Z",29,"Argentina","Manchester City","Premier League","2017/2018",2017,"Nicolás","Otamendi",4,0,156,2966,25,224.6,846.6,363,21,742,143.7,15,0,9,25.8,64,"2",5.2596089008766
"97","Aymeric Laporte","Centre-Back","1994-05-27T00:00:00Z",23,"France","Manchester City","Premier League","2017/2018",2017,"Aymeric","Laporte",0,0,35,806,5,52.8,165.8,34,2,204,25.4,4,0,1,1.5,51,"2",4.3424317617866
"98","Vincent Kompany","Centre-Back","1986-04-10T00:00:00Z",31,"Belgium","Manchester City","Premier League","2017/2018",2017,"Vincent","Kompany",1,1,60,1394,11,76.5,399.6,116,2,326,59.2,6,0,6,2.9,59,"2",4.30416068866571
"99","Eliaquim Mangala","Centre-Back","1991-02-13T00:00:00Z",26,"France","Manchester City","Premier League","2017/2018",2017,"Eliaquim","Mangala",0,0,22,617,7,19.9,113.8,32,0,118,16.8,2,0,0,0.1,50,"2",3.56564019448947
"100","Benjamin Mendy","Left-Back","1994-07-17T00:00:00Z",22,"France","Manchester City","Premier League","2017/2018",2017,"Benjamin","Mendy",0,1,20,360,1,139.3,84.2,48,1,96,27.2,2,0,2,0.4,63,"2",5.55555555555556
"101","Oleksandr Zinchenko","Left-Back","1996-12-15T00:00:00Z",20,"Ukraine","Manchester City","Premier League","2017/2018",2017,"Oleksandr","Zinchenko",0,0,16,530,3,145.9,116.4,21,0,104,28.3,3,0,1,0,50,"2",3.0188679245283
"102","Kyle Walker","Right-Back","1990-05-28T00:00:00Z",27,"England","Manchester City","Premier League","2017/2018",2017,"Kyle","Walker",0,6,138,2784,22,511.4,542.4,117,8,691,117.1,15,1,2,12.3,66,"2",4.95689655172414
"103","Danilo Luiz da Silva","Right-Back","1991-07-15T00:00:00Z",25,"Brazil","Manchester City","Premier League","2017/2018",2017,"Danilo Luiz","da Silva",3,2,100,1340,11,158.1,376,176,8,398,71.1,9,0,2,2.8,50,"2",7.46268656716418
"104","Ilkay Gündogan","Central Midfield","1990-10-24T00:00:00Z",26,"Germany","Manchester City","Premier League","2017/2018",2017,"Ilkay","Gündogan",4,2,82,1504,15,406.4,381.4,408,9,376,119.3,6,0,3,2.3,54,"3",5.45212765957447
"105","Fabian Delph","Central Midfield","1989-11-21T00:00:00Z",27,"England","Manchester City","Premier League","2017/2018",2017,"Fabian","Delph",1,2,55,1740,17,263.7,369.2,62,0,398,69.4,6,0,2,0.5,45,"3",3.16091954022989
"106","Phil Foden","Central Midfield","2000-05-28T00:00:00Z",17,"England","Manchester City","Premier League","2017/2018",2017,"Phil","Foden",0,1,8,45,1,32.1,29.2,10,0,31,7.1,0,0,0,0,47,"3",17.7777777777778
"107","Kevin De Bruyne","Attacking Midfield","1991-06-28T00:00:00Z",26,"Belgium","Manchester City","Premier League","2017/2018",2017,"Kevin","De Bruyne",8,18,209,3073,22,1744.2,1146.6,797,25,872,368.9,19,0,2,21.4,103,"3",6.80117149365441
"108","David Silva","Attacking Midfield","1986-01-08T00:00:00Z",31,"Spain","Manchester City","Premier League","2017/2018",2017,"David","Silva",9,11,169,2431,18,1118.5,875.8,867,26,671,286.5,14,0,5,11.5,82,"3",6.95187165775401
"109","Leroy Sané","Left Winger","1996-01-11T00:00:00Z",21,"Germany","Manchester City","Premier League","2017/2018",2017,"Leroy","Sané",10,15,179,2415,22,891.3,842.4,1013,17,647,274.4,12,0,4,13.4,87,"4",7.4120082815735
"110","Raheem Sterling","Right Winger","1994-12-08T00:00:00Z",22,"England","Manchester City","Premier League","2017/2018",2017,"Raheem","Sterling",18,17,229,2584,23,838.2,969.8,1488,19,701,329.7,13,1,3,27.6,91,"4",8.86222910216718
